Updated: 11/21/12
ui3  Nodes_2024_mp12r7.Future Year:
IntId@     N     S     E     W
 267  6018  5622  6172  5330  6170
 268  5539  1764  1763   371   205
 269  5516  6034  7894  7895     0
 270  6039  1754  1755     0    75
 271  9999     0     0     0     0
 272  5573  7050     0  5082  5572
 273  9999     0     0     0     0
 274  7204     0  7205  6086  5610
 275  2215  1129  1130     0  7667
 276  1760  1130  7668  1125     0
 277  7078  5098  6015  7236  6020
 278  9999     0     0     0     0
 279  5247  5231  5246     0  5903
 280  5578  9999  7208  6135  6051
 281  9999     0     0     0     0
 282  1141  5892  8035  9999  8032
 283  9999     0     0     0     0
 284  6068  6067     0  1694  6109
 285  6064  5084  6065   229   230
 286  5611  5612     0  5102  2902
 287  7669  2285  7080     0     0
 288  6169     0     0  6253  5035
 289  9999     0     0     0     0
 290  6035  6038     0  6036  6251
 291  6056     0   229  6057  5084
 292  1672  6100  6104   151  9999
 293  6102  6179  6119  6103     0
 294  1681  6119  9999  6098  6106
 295  9999     0     0     0     0
 296  9999     0     0     0     0
 297  9999     0     0     0     0
 298  5499  1733  1718  5498     0
 299  6168  9999  9999  2904  1729
 300  7671  7766  1129   417     0
