Int |   NORTHBOUND      SOUTHBOUND      EASTBOUND       WESTBOUND   
 #  |  LT   TH   RT    LT   TH   RT    LT   TH   RT    LT   TH   RT    
---------------------------------------------------------------------
147      0    0    0    23    0   29    18  612    0     0  548   51 
148      0   55   51   120   31    0     0    0    0    22    0  133 
149     38 1080    0     0 1147   53     0    0   42     0    0    0 
150     11    2   29    18    4   41    12  559   23    54  816   29 
151     16    7   44    41   37   68    12  179   14    14  246   22 
152     22    8   53    50   14   58     5  487   29    61  658  110 
153     32    2  282    76    2   37     9  271   11    49  372    4 
154     93  188   34    23  204   60    56  436  146    37  334   30 
155      5    0   15    44    1   14     4  718    6    20  782   17 
156     31    1   56     0    0    0     0  197   20    35  245    0 
157      0    0    8   156    2  129    44  709   16     1  660   69 
158     25  140   36   278  242   68    54  307   22    21  113   19 
159     14   64  130   149  227  117    68  975   33    65  634   17 
160     36  176   14    10  163   10    18    2  201    33    0   19 
161      0  243    7     7  181    0     0    0    0     6    0   11 
162     59    0  135     0    0    0     1  725   45   105 1132    0 
163      0    0    0    73    0   55    75  257    0     0   67   13 
164      0    0    0     0    0    0     0    0    0     0    0    0 
165    162  724    3     0 1160  126   134    9  238     0    0    0 
166     31   41    0     0    8    5    46    0    8     0    0    0 
167      2    0    6     0    0    0     0   31   11     9   27    0 
168      3  736    4     2  957    2     5    0    8     2    1   16 
169      7  322    7    11  486   56    54   10   29     4    4    7 
170     12  491   46     1  596    9     2    0   15   135    7  108 
171      0    0    0   148    0  187   244  704    0     0  345   65 
172     16  160    6     3  374  132   133   18   40     4   11    5 
173     16  261   53    27  362   39    43  116   25   106   82   10 
174     58  440   84   154 1172  374   576   99  132   131   62   58 
175     13   10   37    37   61   92    41 1063   22    73 1264   28 
176      0    0    0    13    0   53    31 1209    0     0  701   13 
177      0    0    0    55    0  217   120  137    1     1  169   35 
178      0    0    0    91    0  111    60 1258    0     0  822   27 
179      0  605    0     0  496    0    16    0   81     0    0    0 
180     20  676   18    29  996   16    85    1   89    75    1   29 
181      0  227  169    28  458    0     0    0    0   304    0   32 
182     85    1   89    75    1   29    29  996   16    20  676   18 
183     18    0   70     6    1    2     3  357    7     6  103    2 
184     23  533   36    21 1735   30     4    0   17    95    0   84 
185     65    6  135    46    5   16    25 1126   52    56  851   12 
186     43  604    0     0  679   54    27    0   28     0    0    0 
187     41    0   44     0    0    0     0  497   17     3  523    0 
188     53  890    0     0 1281  261   168    0  102   485  204   40 
189      0    0    0     0    0  350   101  593    0     0  603    9 
190     58  142   35     6  104    9    21  291   58     7  127   11 
191      0    0    0     0    0    0     0    0    0     0    0    0 
192     43  221   16    26   31    9    35   81   21    27  247  387 
193      0   52    6   170  116    0     0    0    0     1    0   74 
194      0    0    0    13    0   54   103  219    0     0   97    9 
195     80  879   36    32  943   43    24    2   47   270    5  250 
196      0    0    0     0    0    0     0    0    0     0    0    0 
197     76    0    7     0    0    0     0  631   81     6  277    0 
198     51  281    7    29  468   14    81   58  307     4   28   22 
199     20    0    3     0    0    0     0  611   20     2  196    0 
200      0    0    0     0    0    0     0    0    0     0    0    0 
201      0    0    0     0    0    0     0    0    0     0    0    0 
202      2  418  227   334 1210    0     0    2    4   471    0  263 
203      0    0    0  1325    0  427   468 1013    0     0  586  367 
204      0 1247  232   131 1383    0   217  137  227   369    0  461 
205      0  140    9    66  420    0     0    0    0    10    0   60 
206      0    0    0   121   44    3     2   18   12    97   33  200 
207     11   96   29    37   94    2     2    8   12    72   19   35 
208     32    0   84     0    0    0     0  102   39    80  103    0 
209      0    0    1    32    0   24    35  552    1     1  287   35 
210     45    0    8     0    0    0     0  383   65    11  180    0 
211     11  306   10    36  564  110   109    5  105     4    9   65 
212      0    0    0   144    0  158   102   86    0     0   62   53 
213      0    0    0     6    0    3     5  148    0     0  101   14 
214      0  192  136   126  395    0     0    0    0    56    0   45 
215     24  233    9     7   79    6     9   10   17     5    5    7 
216     52    0   81     4    1    0     1  166   43    77  627    3 
217      7   13    3    10   32    6    10   18   11     1   15    9 
218     16  176   57   158  416   61    34    2   14    71    7  104 
219    147    4  100     0    0    0   343  479    0     0  527  434 
220     43    9  413     0    0    0    59 1122    0     0  649  722 
221      0    0    0  1194   11   97     0  343  240   578  174    0 
222     97  593   48   115 1500  330   376   26   37   208   63  142 
223    145    0   82     0    0    0     0 1299  351   200 1064    0 
224      0    0    0    66    9  106     0  920  414   105  464    0 
225    402    0  153     0    0    0   615  583    0     0  326  157 
226      0    0    0   340   21  315     0  582    0   352  395    0 
227      0  822  343   271 1348    0    57  252  449   158    0  108 
228     12  254  249   799  754   53    57  275   15   101   53   99 
229     24  143    0     0  353  114    90    0   36     0    0    0 
230      0    0    0     0    0    0     0    0    0     0    0    0 
231      0  556  145   186  308    0     0    0    0    69    0   73 
232      0    0    0    37    0   51   108  563    0     0  253   17 
233    395    0  234     0    0    0     0 1060  260   213  792    0 
234    127  343   31    56  649   41    69  180  270    87  146   39 
235     77  158   26    12  165   64   102  389   68    12  117   26 
236      5  193    0     2  124    3     1    1    5     2    0    1 
237     43  237    0     0  658   26    33    0   64     0    0    0 
238    119  396   25    99 1102  147   164  159  142    92  167  114 
239    685  589   63   135  367  155    96  455  397    62  862  328 
240      0   62   42    63   93    0     0    0    0    36    0   38 
241     43  397    0     0 1051   21    14    0   65     0    0    0 
242      0    0    0    96    0  123    65  288    0     0  501   83 
243      0   96    8    20  212    0     0    0    0     8    0   13 
244      0    0    0    84    0   85    66  442    0     0  246   42 
245      0    0    0   207    0  158   194  190    0     0   75  179 
246     32  320    0     0  634   16     8    0   57     0    0    0 
247      0    0    0    10    0   13    20   14    0     0   11   10 
248      0  206   10    71  417    0     0    0    0     7    0   77 
