Updated: 01/25/13
ui3  tmc_2pm_2012.prn              Base Year: 2012
IntIdNB_L NB_T NB_R SB_L SB_T SB_R EB_L EB_T EB_R WB_L WB_T WB_R
 189    0    0    3    0    0  492  144  566    0    0  554   46
 190   58  142   35    6  104    9   21  291   58    7  127   11
 191    0    0    0    0    1  878    0    0  990    0    0    0
 192    0    0    0    0    0    0    0    0    0    0    0    0
 193    0    0    0    0    0    0    0    0    0    0    0    0
 194    0    0    0   11    0   50   93  201    0    0  104   17
 195   64  820   36   36  856   32   21    2   37  316    6  244
 196    0    0    0    0    0    0    0    0    0    0    0    0
 197   73    0   10    0    0    0    0  612   81    6  265    0
 198   50  290    5   23  485   17   68   45  291    5   23   18
 199   19    0    4    0    0    0    0  486   23    2  179    0
 200    0    0    0    0    0    0    0    0    0    0    0    0
 201    0    0    0    0    0    0    0    0    0    0    0    0
 202    2  442  189  376 1297    2    3    3    6  482    1  274
 203    0    0    0 1283    0  621  372  967    0    0  500  353
 204    0 1149  237  129 1262    0  203  137  216  376    0  461
 205    0  134    8   70  397    0    0    0    0    7    0   58
 206    0    0    0  121   44    3    2   18   12   97   33  200
 207   12   89   24   36   88    1    2    7   10   60   14   37
 208    0    0    0    0    0    0    0    0    0    0    0    0
 209    0    0    0    0    0    0    0    0    0    0    0    0
 210    0    0    0    0    0    0    0    0    0    0    0    0
 211    0    0    0    0    0    0    0    0    0    0    0    0
 212    0    0    0    0    0    0    0    0    0    0    0    0
 213    0    0    0    0    0    0    0    0    0    0    0    0
 214    0    0    0    0    0    0    0    0    0    0    0    0
 215  260  450    0    0  349 1148    0    0    0    0    0    0
 216   59    0   77    2    2    0    2  151   44   68  561    3
 217  335  785    0    0  479   62  268    0  509    0    0    0
 218   16  190   55  145  367   70   32    4   13   65    6  106
 219  136   11   87    0    0    0  248  420    0    0  547  395
 220   42    4  336    0    0    0   70 1180    0    0  707  701
 221    0    0    0  896    5   71    0  308  311  573  168    0
 222   89  598   45  112 1411  349  398   22   34  180   71  140
 223  130    0   80    0    0    0    0 1251  329  174 1084    0
 224    0    0    0   69   10  113    0  867  371  102  465    0
 225  375    0  167    0    0    0  613  523    0    0  295  138
 226    0    0    0  306   18  307    0  555    0  321  388    0
 227    0  690  394  221 1137    0   71  229  435  128    0  101
 228    6  219  252  780  745   54   38  177   22  104   54  114
 229   36  232    0    0  309  125  132    0   53    0    0    0
 230    0 1253   53  127  856    0    0    0    0   42    0  107
 231    0  490  129  161  290    0    0    0    0   64    0   77
 232    0    0    0   37    0   51  108  563    0    0  253   17
 233  417    0  224    0    0    0    0 1171  274  182  925    0
 234  164  309  145  109  636   43   55  550  243   79  193   29
 235   61  148   26   21  145   58   89  345   57   15  112   25
 236   10  166    0    2  115    2    1    1    7    3    0    2
 237   44  209    0    0  589   27   31    0   66    0    0    0
 238   95  344   23   98  972  128  121  123  117   83  130   96
 239  728  587   62   84  257  109   75  409  351   60  807  166
 240    0   49   40   73   56    0    0    0    0   28    0   34
 241   50  375    0    0  912   21   15    0   61    0    0    0
 242    0    0    0   97    0  130   91  319    0    0  506   93
 243    0   86    6   18  181    0    0    0    0    9    0   11
 244    0    0    0   71    0   68   58  374    0    0  229   40
 245    0    0    0  201    0  150  197  179    0    0   79  165
 246    0    0    0    0    0    0    0    0    0    0    0    0
 247    0    0    0    0    0    0    0    0    0    0    0    0
 248    0    0    0    0    0    0    0    0    0    0    0    0
 249    7 1137  125  328  555    6    6    3    2  201   11  504
 250    0    0    0   72    8  150    0  634  224   82  579    0
 251  133    8  147    0    0    0  284  422    0    0  525  113
 252  146    0   92    0    0    0    0 1009  100   57  901    0
 253  190  556    0    0  509  165    0    0    0   71    0  168
 254   35  309  347  306  501    1    1    2   33  135    1  133
 255  529  192  175   12   30   27   80  184  161   34   69   10
 256  101    0   32    0    0    0    0   74   86   28  155    0
 257   99    1   32    2    0    3    2  201  193   41  108    4
 258    0    0    0    0    0    0    0 1537    0    0  485    0
 259    0    0    0    0    0    0  969  568    0    0  485  708
 260    0    0    0    0    0    0  222  625    0    0  340   14
 261   15  313    0    0  715  185  116    0   31    0    0    0
 262  230  879    0    0  861  167 1189    0   63    0    0    0
 263   43  480   45   31  972   16   49    1  104  169   16  137
 264   98  442   56   36  660  124  222  102  173  159  194   73
 265  274 1240  111   46  661   61   94  235  130   31  238   56
 266  108   16   26  142   11  113   52  884   66   35  880   96
 267   47   74   53  107  209  324  187  872   47   29  547   50
 268  100 1024   36   73 1308  134  122   16   65   46   13   64
 269    0  124   27   34  152    0    0    0    0   42    0   93
 270   81  608    0    0  769  112  181    0   46    0    0    0
 271    0    0    0    0    0    0    0    0    0    0    0    0
 272    0    0    0  115    0  132   99  297    0    0  350   85
 273    0    0    0    0    0    0    0    0    0    0    0    0
 274   49    0  150    0    0    0    0  329   58  195  514    0
 275   48 1104    0    0  992   60  282    0   87    0    0    0
 276    0  652   19  479  343    0    0    0    0   12    0  260
 277   17  786   34   95  500   73  213   60   31  174   96  335
 278    0    0    0    0    0    0    0    0    0    0    0    0
 279    0    0    0    0 1345    0    0    0  671    0    0    0
 280  265    0  193    2    6   10    0  217  209   69  206    0
 281    0    0    0    0    0    0    0    0    0    0    0    0
 282   84  618    4   56 1412  107   31    2  146    6    6   18
 283    0    0    0    0    0    0    0    0    0    0    0    0
 284    0    0    0   73    0  526  273 1350    0    0 1001   49
 285   45 1208   55   54 1768   77  110    8   25  132   13   79
 286    0    0    0    0    0    0  365  488    0    0  274  358
 287    0 1915    0    0  709    0    0    0    0    0    0    0
 288    0    0    0    0    0    0    0 1255    0    0  869    0
 289    0    0    0    0    0    0    0    0    0    0    0    0
 290    0    0    0   38    0  106   80   91    0    0   54   51
 291  108    0   99    0    0    0    0  745   30   21  557    0
 292   22  123   62  149  260    8   11   17   15   42   18  105
 293    1  115   71  127  231    0    0    1    0  109    2  122
 294   48   98    4   20  169  148   70   24   51    3   12   13
 295    0    0    0    0    0    0    0    0    0    0    0    0
 296    5  137    0    0  225   22   21    0   15    0    0    0
 297    0    0    0    0    0    0    0    0    0    0    0    0
 298    0  584   50  174 1233    0    0    0    0   87    0  332
 299  103   34   73  149    0  114  169  467    0    0  405   87
 300    0  979   91  106  758    0    0    0    0   60    0   65
